timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
30.9,-15172.0,-40.0,-2200.0,-3728.0,-13.0,-340.0
31.5,-15116.0,-12.0,-2228.0,-3728.0,-57.0,-310.0
31.9,-15184.0,-24.0,-2104.0,-3744.0,-25.0,-312.0
32.5,-15156.0,-20.0,-2140.0,-3728.0,25.0,-325.0
32.9,-15092.0,-56.0,-2192.0,-3776.0,-3.0,-324.0
33.5,-15116.0,32.0,-2228.0,-3728.0,-31.0,-297.0
33.9,-15236.0,96.0,-2072.0,-3728.0,-15.0,-297.0
34.5,-15216.0,40.0,-2280.0,-3728.0,-23.0,-292.0
34.9,-15076.0,48.0,-2232.0,-3744.0,-59.0,-326.0
35.5,-15140.0,20.0,-2204.0,-3728.0,15.0,-302.0
35.9,-15128.0,-104.0,-2120.0,-3696.0,-36.0,-287.0
36.5,-15124.0,-28.0,-2148.0,-3728.0,-46.0,-304.0
36.9,-15092.0,76.0,-2056.0,-3728.0,-8.0,-287.0
37.5,-15156.0,24.0,-2060.0,-3696.0,-5.0,-291.0
37.9,-15128.0,28.0,-2212.0,-3728.0,-43.0,-287.0
38.5,-15184.0,0.0,-2096.0,-3712.0,-48.0,-301.0
38.9,-15128.0,-36.0,-2200.0,-3728.0,-44.0,-270.0
